product.code,importId,qty,unit.id,productName,saleSupplySelect,deliveredQty,price,companyExTaxTotal,inTaxPrice,exTaxTotal
100-DENTUREBRUSH,4885/100-DENTUREBRUSH,4,1,100-DENTUREBRUSH,1,4,80.44,321.76,80.44,321.76
100-DENTUREBRUSH,4873/100-DENTUREBRUSH,1,1,100-DENTUREBRUSH,1,1,80.44,80.44,80.44,80.44
100-USO-1,4864/100-USO-1,1,1,100-USO-1,1,1,72.5,72.5,72.5,72.5
100-USO-1,4863/100-USO-1,1,1,100-USO-1,1,1,72.5,72.5,72.5,72.5
100-226-MO,4853/100-226-MO,576,1,100-226-MO,1,576,0.21,120.96,0.21,120.96
100-198-DE,4825/100-198-DE,50,1,100-198-DE,1,50,0,0,0,0
810-COMB-NW,4825/810-COMB-NW,50,1,810-COMB-NW,1,50,0,0,0,0
110-Washcloth,4825/110-Washcloth,50,1,110-Washcloth,1,50,0,0,0,0
100-130,4825/100-130,50,1,100-130,1,50,0,0,0,0
100-TBCAP,4825/100-TBCAP,50,1,100-TBCAP,1,50,0,0,0,0
100-DENTUREBRUSH,4820/100-DENTUREBRUSH,1,1,100-DENTUREBRUSH,1,1,80.44,80.44,80.44,80.44
110-FLOSS-YD-72,4818/110-FLOSS-YD-72,1,1,110-FLOSS-YD-72,1,1,37.44,37.44,37.44,37.44
600-100-448-DD,4812/600-100-448-DD,8,1,600-100-448-DD,1,8,51.84,414.72,51.84,414.72
600-100-448-DD,4809/600-100-448-DD,12,1,600-100-448-DD,1,12,51.84,622.08,51.84,622.08
100-DENTUREBRUSH,4786/100-DENTUREBRUSH,1,1,100-DENTUREBRUSH,1,1,80.44,80.44,80.44,80.44
100-819-I-DE,4780/100-819-I-DE,2,1,100-819-I-DE,1,2,76.32,152.64,76.32,152.64
100-FINGERB-144,4770/100-FINGERB-144,2,1,100-FINGERB-144,1,2,77.76,155.52,77.76,155.52
100-TRAVEL DE,4745/100-TRAVEL DE,2,1,100-TRAVEL DE,1,2,86.18,172.36,86.18,172.36
110-FLOSS-YD-72,4724/110-FLOSS-YD-72,2,1,110-FLOSS-YD-72,1,2,38.79,77.58,38.79,77.58
600-110-FLOSS-M-DD,4721/600-110-FLOSS-M-DD,3024,1,600-110-FLOSS-M-DD,1,3024,0.42,1270.08,0.42,1270.08
600-300-ZS-PULSE-DD,4716/600-300-ZS-PULSE-DD,30,1,600-300-ZS-PULSE-DD,1,30,33.5,1005,33.5,1005
100-202-Z,4703/100-202-Z,1400,1,100-202-Z,1,1400,0,0,0,0
