"importId","name","code","country.alpha3Code","department.code"
28976,"Honolulu","Honolulu_Honolulu County_HI","USA","Honolulu County_HI"
28977,"Honolulu","Honolulu_Honolulu County_HI","USA","Honolulu County_HI"
28978,"Honolulu","Honolulu_Honolulu County_HI","USA","Honolulu County_HI"
28979,"J B P H H","J B P H H_Honolulu County_HI","USA","Honolulu County_HI"
28980,"Wheeler Army Airfield","Wheeler Army Airfield_Honolulu County_HI","USA","Honolulu County_HI"
28981,"Schofield Barracks","Schofield Barracks_Honolulu County_HI","USA","Honolulu County_HI"
28982,"Fort Shafter","Fort Shafter_Honolulu County_HI","USA","Honolulu County_HI"
28983,"Tripler Army Medical Center","Tripler Army Medical Center_Honolulu County_HI","USA","Honolulu County_HI"
28984,"J B P H H","J B P H H_Honolulu County_HI","USA","Honolulu County_HI"
28985,"Camp H M Smith","Camp H M Smith_Honolulu County_HI","USA","Honolulu County_HI"
28986,"M C B H Kaneohe Bay","M C B H Kaneohe Bay_Honolulu County_HI","USA","Honolulu County_HI"
28987,"Hagatna","Hagatna"",,""GU","USA",",""GU"""
28988,"Barrigada","Barrigada"",,""GU","USA",",""GU"""
28989,"Santa Rita","Santa Rita"",,""GU","USA",",""GU"""
28990,"Agana Heights","Agana Heights"",,""GU","USA",",""GU"""
28991,"Yigo","Yigo"",,""GU","USA",",""GU"""
28992,"Antelope","Antelope_Wasco County_OR","USA","Wasco County_OR"
28993,"Aurora","Aurora_Marion County_OR","USA","Marion County_OR"
28994,"Beavercreek","Beavercreek_Clackamas County_OR","USA","Clackamas County_OR"
28995,"Beaverton","Beaverton_Washington County_OR","USA","Washington County_OR"
28996,"Beaverton","Beaverton_Washington County_OR","USA","Washington County_OR"
28997,"Beaverton","Beaverton_Washington County_OR","USA","Washington County_OR"
28998,"Beaverton","Beaverton_Washington County_OR","USA","Washington County_OR"
28999,"Boring","Boring_Clackamas County_OR","USA","Clackamas County_OR"
29000,"Brightwood","Brightwood_Clackamas County_OR","USA","Clackamas County_OR"
29001,"Canby","Canby_Clackamas County_OR","USA","Clackamas County_OR"
29002,"Cascade Locks","Cascade Locks_Hood River County_OR","USA","Hood River County_OR"
29003,"Clackamas","Clackamas_Clackamas County_OR","USA","Clackamas County_OR"
29004,"Clatskanie","Clatskanie_Columbia County_OR","USA","Columbia County_OR"
29005,"Colton","Colton_Clackamas County_OR","USA","Clackamas County_OR"
29006,"Columbia City","Columbia City_Columbia County_OR","USA","Columbia County_OR"
29007,"Corbett","Corbett_Multnomah County_OR","USA","Multnomah County_OR"
29008,"Donald","Donald_Marion County_OR","USA","Marion County_OR"
29009,"Dufur","Dufur_Wasco County_OR","USA","Wasco County_OR"
29010,"Eagle Creek","Eagle Creek_Clackamas County_OR","USA","Clackamas County_OR"
