"importId","code","areaCode","city.code","county.code","state.name","country.alpha3Code"
20918,66025,785,"Eudora_Douglas County_KS","Douglas County_KS","KS","USA"
20919,66026,913,"Fontana_Miami County_KS","Miami County_KS","KS","USA"
20920,66027,913,"Fort Leavenworth_Leavenworth County_KS","Leavenworth County_KS","KS","USA"
20921,66030,913,"Gardner_Johnson County_KS","Johnson County_KS","KS","USA"
20922,66031,913,"New Century_Johnson County_KS","Johnson County_KS","KS","USA"
20923,66032,785,"Garnett_Anderson County_KS","Anderson County_KS","KS","USA"
20924,66033,785,"Greeley_Anderson County_KS","Anderson County_KS","KS","USA"
20925,66035,785,"Highland_Doniphan County_KS","Doniphan County_KS","KS","USA"
20926,66039,785,"Kincaid_Anderson County_KS","Anderson County_KS","KS","USA"
20927,66040,913,"Lacygne_Linn County_KS","Linn County_KS","KS","USA"
20928,66041,"7,85,913","Lancaster_Atchison County_KS","Atchison County_KS","KS","USA"
20929,66042,785,"Lane_Franklin County_KS","Franklin County_KS","KS","USA"
20930,66043,913,"Lansing_Leavenworth County_KS","Leavenworth County_KS","KS","USA"
20931,66044,785,"Lawrence_Douglas County_KS","Douglas County_KS","KS","USA"
20932,66046,785,"Lawrence_Douglas County_KS","Douglas County_KS","KS","USA"
20933,66047,785,"Lawrence_Douglas County_KS","Douglas County_KS","KS","USA"
20934,66048,913,"Leavenworth_Leavenworth County_KS","Leavenworth County_KS","KS","USA"
20935,66049,785,"Lawrence_Douglas County_KS","Douglas County_KS","KS","USA"
20936,66050,785,"Lecompton_Douglas County_KS","Douglas County_KS","KS","USA"
20937,66052,913,"Linwood_Leavenworth County_KS","Leavenworth County_KS","KS","USA"
20938,66053,913,"Louisburg_Miami County_KS","Miami County_KS","KS","USA"
20939,66054,913,"Mc Louth_Jefferson County_KS","Jefferson County_KS","KS","USA"
20940,66056,913,"Mound City_Linn County_KS","Linn County_KS","KS","USA"
20941,66058,785,"Muscotah_Atchison County_KS","Atchison County_KS","KS","USA"
20942,66060,913,"Nortonville_Jefferson County_KS","Jefferson County_KS","KS","USA"
20943,66061,913,"Olathe_Johnson County_KS","Johnson County_KS","KS","USA"
20944,66062,913,"Olathe_Johnson County_KS","Johnson County_KS","KS","USA"
20945,66064,913,"Osawatomie_Miami County_KS","Miami County_KS","KS","USA"
20946,66066,785,"Oskaloosa_Jefferson County_KS","Jefferson County_KS","KS","USA"
20947,66067,785,"Ottawa_Franklin County_KS","Franklin County_KS","KS","USA"
20948,66070,785,"Ozawkie_Jefferson County_KS","Jefferson County_KS","KS","USA"
20949,66071,913,"Paola_Miami County_KS","Miami County_KS","KS","USA"
20950,66072,913,"Parker_Linn County_KS","Linn County_KS","KS","USA"
20951,66073,785,"Perry_Jefferson County_KS","Jefferson County_KS","KS","USA"
20952,66075,913,"Pleasanton_Linn County_KS","Linn County_KS","KS","USA"
20953,66076,785,"Pomona_Franklin County_KS","Franklin County_KS","KS","USA"
20954,66078,785,"Princeton_Franklin County_KS","Franklin County_KS","KS","USA"
20955,66079,785,"Rantoul_Franklin County_KS","Franklin County_KS","KS","USA"
20956,66080,785,"Richmond_Franklin County_KS","Franklin County_KS","KS","USA"
20957,66083,913,"Spring Hill_Johnson County_KS","Johnson County_KS","KS","USA"
20958,66085,913,"Stilwell_Johnson County_KS","Johnson County_KS","KS","USA"
20959,66086,913,"Tonganoxie_Leavenworth County_KS","Leavenworth County_KS","KS","USA"
20960,66087,"9,13,785","Troy_Doniphan County_KS","Doniphan County_KS","KS","USA"
20961,66088,785,"Valley Falls_Jefferson County_KS","Jefferson County_KS","KS","USA"
